Sex	Age	Place	DivPlace	DIV	DivAge	Time	BostonQualifier	HomeStateOrCountry
M	38	5824	947	M35-39	35-39	208.8	N	NY
M	44	18719	2314	M40-44	40-44	248.27	N	NC
M	56	14716	609	M55-59	55-59	237.72	Y	NY
M	48	11240	1327	M45-49	45-49	228.72	N	NJ
M	44	1572	248	M40-44	40-44	180.15	N	ESP
M	28	245	64	M25-29	25-29	161.42	Y	NY
M	57	6093	206	M55-59	55-59	209.7	Y	SIN
F	33	7626	274	F30-34	30-34	216.28	N	MA
F	49	9233	244	F45-49	45-49	222.27	Y	AUS
M	35	5864	949	M35-39	35-39	208.92	Y	NY
M	51	844	29	M50-54	50-54	173.15	Y	ESP
M	39	5808	946	M35-39	35-39	208.73	Y	NJ
M	70	6929	4	M70-74	70-74	213.37	Y	CHN
M	24	485	28	M20-24	20-24	167.48	Y	NC
M	40	14750	1896	M40-44	40-44	237.78	N	MEX
F	46	19799	737	F45-49	45-49	251.22	Y	SUI
M	50	12823	1074	M50-54	50-54	233.18	N	ITA
M	40	8468	1166	M40-44	40-44	219.28	N	SRI
M	36	9270	1354	M35-39	35-39	222.4	N	DEN
M	29	32	12	M25-29	25-29	143.07	Y	ETH
M	52	17535	1496	M50-54	50-54	244.93	Y	CHN
M	37	9252	1353	M35-39	35-39	222.33	N	NJ
M	54	18785	1582	M50-54	50-54	248.43	N	FRA
M	50	11300	947	M50-54	50-54	228.88	Y	GBR
M	31	17571	1974	M30-34	30-34	245.03	Y	NY
M	26	8402	812	M25-29	25-29	219.05	Y	PER
M	49	17514	1979	M45-49	45-49	244.88	N	NY
F	41	17597	834	F40-44	40-44	245.1	Y	INA
M	43	715	93	M40-44	40-44	171.3	Y	OR
M	53	305	6	M50-54	50-54	163.45	N	POR
M	40	860	123	M40-44	40-44	173.45	Y	ETH
M	50	10788	905	M50-54	50-54	227.47	N	AUT
M	58	19723	833	M55-59	55-59	251.1	N	FRA
M	30	1542	302	M30-34	30-34	179.82	N	NY
M	41	19794	2411	M40-44	40-44	251.27	N	NY
M	62	10708	165	M60-64	60-64	227.2	Y	NJ
M	27	15434	1303	M25-29	25-29	239.2	N	GBR
M	32	606	159	M30-34	30-34	169.57	Y	NY
F	24	13717	186	F20-24	20-24	235.47	Y	IL
M	43	5900	876	M40-44	40-44	209.07	N	COL
M	29	4503	516	M25-29	25-29	202.67	N	OR
M	47	962	66	M45-49	45-49	174.82	N	ESP
M	49	9294	1119	M45-49	45-49	222.48	Y	MO
M	28	15424	1301	M25-29	25-29	239.18	Y	CT
M	57	9293	360	M55-59	55-59	222.47	Y	GBR
M	57	4594	119	M55-59	55-59	203.25	Y	NED
F	40	8441	336	F40-44	40-44	219.18	N	CAN
M	24	1507	60	M20-24	20-24	179.53	N	NY
F	39	17594	730	F35-39	35-39	245.08	N	NCA
M	44	8422	1160	M40-44	40-44	219.12	Y	VEN
M	42	947	140	M40-44	40-44	174.67	N	CAN
M	51	10737	898	M50-54	50-54	227.33	N	CO
F	40	3244	57	F40-44	40-44	194.58	N	IRL
M	36	13766	1803	M35-39	35-39	235.58	N	RSA
M	40	19722	2405	M40-44	40-44	251.1	Y	FRA
M	71	9278	5	M70-74	70-74	222.43	N	MI
M	34	27	10	M30-34	30-34	141.1	N	UGA
M	47	9235	1113	M45-49	45-49	222.27	Y	CT
M	41	856	122	M40-44	40-44	173.42	N	DEN
M	26	504	118	M25-29	25-29	167.7	Y	NY
M	31	3284	504	M30-34	30-34	194.83	Y	NY
M	30	8474	1101	M30-34	30-34	219.3	N	FRA
M	40	25	2	M40-44	40-44	139.68	N	SWE
F	47	18753	695	F45-49	45-49	248.35	N	ESP
F	29	6965	271	F25-29	25-29	213.52	N	NY
M	57	15484	638	M55-59	55-59	239.32	Y	OH
M	32	10789	1351	M30-34	30-34	227.48	Y	IL
M	44	10710	1434	M40-44	40-44	227.2	N	NE
F	34	2711	81	F30-34	30-34	190.95	N	NY
M	38	1544	346	M35-39	35-39	179.83	Y	FRA
F	52	17531	384	F50-54	50-54	244.93	Y	ITA
M	29	277	74	M25-29	25-29	162.8	N	WA
M	47	6091	762	M45-49	45-49	209.7	Y	GBR
