"","year","state","party_simplified","candidatevotes","totalvotes"
"1",1976,"ARIZONA","REPUBLICAN",321236,741210
"2",1976,"ARIZONA","DEMOCRAT",400334,741210
"3",1976,"CALIFORNIA","REPUBLICAN",3748973,7470586
"4",1976,"CALIFORNIA","DEMOCRAT",3502862,7470586
"5",1976,"CONNECTICUT","REPUBLICAN",785683,1361666
"6",1976,"CONNECTICUT","DEMOCRAT",561018,1361666
"7",1976,"DELAWARE","DEMOCRAT",98042,224795
"8",1976,"DELAWARE","REPUBLICAN",125454,224795
"9",1976,"FLORIDA","DEMOCRAT",1799518,2857534
"10",1976,"FLORIDA","REPUBLICAN",1057886,2857534
"11",1976,"HAWAII","DEMOCRAT",162305,302092
"12",1976,"HAWAII","REPUBLICAN",122724,302092
"13",1976,"INDIANA","REPUBLICAN",1275833,2161187
"14",1976,"INDIANA","DEMOCRAT",868522,2161187
"15",1976,"MAINE","REPUBLICAN",193489,486193
"16",1976,"MAINE","DEMOCRAT",292704,486193
"17",1976,"MARYLAND","REPUBLICAN",530439,1365290
"18",1976,"MARYLAND","DEMOCRAT",772101,1365290
"19",1976,"MASSACHUSETTS","REPUBLICAN",722641,2491255
"20",1976,"MASSACHUSETTS","DEMOCRAT",1726657,2491255
"21",1976,"MICHIGAN","REPUBLICAN",1635087,3490412
"22",1976,"MICHIGAN","DEMOCRAT",1831031,3490412
"23",1976,"MINNESOTA","REPUBLICAN",478602,1912020
"24",1976,"MINNESOTA","DEMOCRAT",1290736,1912020
"25",1976,"MISSISSIPPI","DEMOCRAT",554433,554433
"26",1976,"MISSOURI","REPUBLICAN",1090067,1914460
"27",1976,"MISSOURI","DEMOCRAT",813571,1914460
"28",1976,"MONTANA","REPUBLICAN",115213,321445
"29",1976,"MONTANA","DEMOCRAT",206232,321445
"30",1976,"NEBRASKA","REPUBLICAN",279284,593310
"31",1976,"NEBRASKA","DEMOCRAT",313805,593310
"32",1976,"NEVADA","REPUBLICAN",63471,201899
"33",1976,"NEVADA","DEMOCRAT",127214,201899
"34",1976,"NEW JERSEY","DEMOCRAT",1681140,2771390
"35",1976,"NEW JERSEY","REPUBLICAN",1054508,2771390
"36",1976,"NEW MEXICO","DEMOCRAT",176382,413056
"37",1976,"NEW MEXICO","REPUBLICAN",234681,413056
"38",1976,"NEW YORK","REPUBLICAN",2525139,6666875
"39",1976,"NEW YORK","DEMOCRAT",3238511,6666875
"40",1976,"NORTH DAKOTA","REPUBLICAN",103466,283062
"41",1976,"NORTH DAKOTA","DEMOCRAT",175772,283062
"42",1976,"OHIO","DEMOCRAT",1941113,3920613
"43",1976,"OHIO","REPUBLICAN",1823774,3920613
"44",1976,"PENNSYLVANIA","REPUBLICAN",2381891,4546353
"45",1976,"PENNSYLVANIA","DEMOCRAT",2126977,4546353
"46",1976,"RHODE ISLAND","DEMOCRAT",167665,398906
"47",1976,"RHODE ISLAND","REPUBLICAN",230329,398906
"48",1976,"TENNESSEE","DEMOCRAT",751180,1432046
"49",1976,"TENNESSEE","REPUBLICAN",673231,1432046
"50",1976,"TEXAS","REPUBLICAN",1636370,3874230
"51",1976,"TEXAS","DEMOCRAT",2199956,3874230
"52",1976,"UTAH","REPUBLICAN",290221,522108
"53",1976,"UTAH","DEMOCRAT",223948,522108
"54",1976,"VERMONT","REPUBLICAN",94481,189060
"55",1976,"VERMONT","DEMOCRAT",85682,189060
"56",1976,"VIRGINIA","DEMOCRAT",596009,1557500
"57",1976,"WASHINGTON","DEMOCRAT",1071219,1491111
"58",1976,"WASHINGTON","REPUBLICAN",361546,1491111
"59",1976,"WEST VIRGINIA","DEMOCRAT",566359,566359
"60",1976,"WISCONSIN","DEMOCRAT",1396970,1935183
"61",1976,"WISCONSIN","REPUBLICAN",521902,1935183
"62",1976,"WYOMING","DEMOCRAT",70558,155368
"63",1976,"WYOMING","REPUBLICAN",84810,155368
"64",1978,"ALABAMA","DEMOCRAT",547054,582005
"65",1978,"ALASKA","DEMOCRAT",29574,122741
"66",1978,"ALASKA","REPUBLICAN",92783,122741
"67",1978,"ARKANSAS","DEMOCRAT",395506,517138
"68",1978,"ARKANSAS","REPUBLICAN",84308,517138
"69",1978,"COLORADO","DEMOCRAT",330148,819256
"70",1978,"COLORADO","REPUBLICAN",480801,819256
"71",1978,"DELAWARE","DEMOCRAT",93930,162072
"72",1978,"DELAWARE","REPUBLICAN",66479,162072
