"Year","Team","Position","WAA"
2015,"ARI","Total",4.9
2015,"ATL","Total",-12.5
2015,"BAL","Total",0
2015,"BOS","Total",0.8
2015,"CHC","Total",7.5
2015,"CHW","Total",-10.2
2015,"CIN","Total",-10
2015,"CLE","Total",2.8
2015,"COL","Total",-9.8
2015,"DET","Total",-10.7
2015,"HOU","Total",11.5
2015,"KCR","Total",8.5
2015,"LAA","Total",-2.5
2015,"LAD","Total",12.8
2015,"MIA","Total",-5
2015,"MIL","Total",-11.4
2015,"MIN","Total",-6.3
2015,"NYM","Total",7.2
2015,"NYY","Total",5.5
2015,"OAK","Total",-7.3
2015,"PHI","Total",-16.7
2015,"PIT","Total",9
2015,"SDP","Total",-9.3
2015,"SEA","Total",-6.1
2015,"SFG","Total",8.6
2015,"STL","Total",19.2
2015,"TBR","Total",2.5
2015,"TEX","Total",-0.8
2015,"TOR","Total",12.6
2015,"WSN","Total",4.9
2016,"ARI","Total",-8.7
2016,"ATL","Total",-12.2
2016,"BAL","Total",4.2
2016,"BOS","Total",16.6
2016,"CHC","Total",24.8
2016,"CHW","Total",-1
2016,"CIN","Total",-12.9
2016,"CLE","Total",8.1
2016,"COL","Total",-2
2016,"DET","Total",4.7
2016,"HOU","Total",0.9
2016,"KCR","Total",-2.4
2016,"LAA","Total",-5.7
2016,"LAD","Total",7.6
2016,"MIA","Total",0.3
2016,"MIL","Total",-4.1
2016,"MIN","Total",-18.3
2016,"NYM","Total",6.4
2016,"NYY","Total",-2.4
2016,"OAK","Total",-10.4
2016,"PHI","Total",-17.8
2016,"PIT","Total",-4
2016,"SDP","Total",-11.4
2016,"SEA","Total",1.1
2016,"SFG","Total",11.8
2016,"STL","Total",8.1
2016,"TBR","Total",-3.5
2016,"TEX","Total",-0.2
2016,"TOR","Total",7.9
2016,"WSN","Total",13
2017,"ARI","Total",15.7
2017,"ATL","Total",-10.5
2017,"BAL","Total",-8.7
2017,"BOS","Total",5.9
2017,"CHC","Total",9.6
2017,"CHW","Total",-9.8
2017,"CIN","Total",-8.7
2017,"CLE","Total",24.1
2017,"COL","Total",8.1
2017,"DET","Total",-12.2
2017,"HOU","Total",16.6
2017,"KCR","Total",-6.1
2017,"LAA","Total",-3.9
2017,"LAD","Total",16.4
2017,"MIA","Total",-3.8
2017,"MIL","Total",4
2017,"MIN","Total",1.7
2017,"NYM","Total",-10
2017,"NYY","Total",16.9
2017,"OAK","Total",-8.2
2017,"PHI","Total",-4.3
2017,"PIT","Total",-8.1
2017,"SDP","Total",-15.7
2017,"SEA","Total",-1.3
2017,"SFG","Total",-13.7
2017,"STL","Total",3.2
2017,"TBR","Total",-2.7
2017,"TEX","Total",-3.3
2017,"TOR","Total",-8.6
2017,"WSN","Total",16.4
2018,"ARI","Total",0.5
2018,"ATL","Total",8.7
2018,"BAL","Total",-21.1
2018,"BOS","Total",21
2018,"CHC","Total",13.2
2018,"CHW","Total",-17.6
2018,"CIN","Total",-9.2
2018,"CLE","Total",15.2
2018,"COL","Total",3.6
2018,"DET","Total",-18.2
2018,"HOU","Total",24
2018,"KCR","Total",-17.7
2018,"LAA","Total",3.2
2018,"LAD","Total",18.4
2018,"MIA","Total",-24.1
2018,"MIL","Total",7.6
2018,"MIN","Total",-8.7
2018,"NYM","Total",0
2018,"NYY","Total",14.2
2018,"OAK","Total",12.7
2018,"PHI","Total",-2.9
2018,"PIT","Total",-0.9
2018,"SDP","Total",-14.7
2018,"SEA","Total",1.1
2018,"SFG","Total",-10.3
2018,"STL","Total",0.6
2018,"TBR","Total",10.1
2018,"TEX","Total",-8.2
2018,"TOR","Total",-11.2
2018,"WSN","Total",8.1
2019,"ARI","Total",2.8
2019,"ATL","Total",7.6
2019,"BAL","Total",-17.8
2019,"BOS","Total",8.2
2019,"CHC","Total",11.4
2019,"CHW","Total",-9.9
2019,"CIN","Total",-2.5
2019,"CLE","Total",5.7
2019,"COL","Total",-10.8
2019,"DET","Total",-26
2019,"HOU","Total",31
2019,"KCR","Total",-16.6
2019,"LAA","Total",-8.5
2019,"LAD","Total",20.4
2019,"MIA","Total",-21.7
2019,"MIL","Total",1
2019,"MIN","Total",13.5
2019,"NYM","Total",8.5
2019,"NYY","Total",15
2019,"OAK","Total",17.5
2019,"PHI","Total",-3.2
2019,"PIT","Total",-16.2
2019,"SDP","Total",-11.6
2019,"SEA","Total",-9.9
2019,"SFG","Total",-11.4
2019,"STL","Total",9.1
2019,"TBR","Total",9.8
2019,"TEX","Total",-1.9
2019,"TOR","Total",-10.5
2019,"WSN","Total",14.8
2015,"ARI","All.P",-5.3
2015,"ATL","All.P",-5.1
2015,"BAL","All.P",0.2
2015,"BOS","All.P",-0.2
2015,"CHC","All.P",4.2
2015,"CHW","All.P",-1.8
2015,"CIN","All.P",-7.2
2015,"CLE","All.P",7.5
2015,"COL","All.P",-2.6
2015,"DET","All.P",-12.2
2015,"HOU","All.P",2.4
2015,"KCR","All.P",4.1
2015,"LAA","All.P",-4
2015,"LAD","All.P",5.3
2015,"MIA","All.P",-6.8
2015,"MIL","All.P",-5.2
2015,"MIN","All.P",2
2015,"NYM","All.P",6.5
2015,"NYY","All.P",6.3
2015,"OAK","All.P",-5.4
2015,"PHI","All.P",-7.7
2015,"PIT","All.P",5.8
2015,"SDP","All.P",-7
2015,"SEA","All.P",-0.8
2015,"SFG","All.P",1.4
2015,"STL","All.P",17
2015,"TBR","All.P",1.6
2015,"TEX","All.P",-0.1
2015,"TOR","All.P",0.3
2015,"WSN","All.P",6.4
2016,"ARI","All.P",-7.1
2016,"ATL","All.P",-5.3
2016,"BAL","All.P",3.1
2016,"BOS","All.P",-0.9
2016,"CHC","All.P",9.7
2016,"CHW","All.P",0.4
2016,"CIN","All.P",-8.5
2016,"CLE","All.P",6.7
2016,"COL","All.P",-4.3
2016,"DET","All.P",6.1
2016,"HOU","All.P",-7.9
2016,"KCR","All.P",1.9
2016,"LAA","All.P",-8
2016,"LAD","All.P",4.3
2016,"MIA","All.P",-1.8
2016,"MIL","All.P",0.4
2016,"MIN","All.P",-10.5
2016,"NYM","All.P",8.2
2016,"NYY","All.P",4.2
2016,"OAK","All.P",1.7
2016,"PHI","All.P",-6.4
2016,"PIT","All.P",-1.6
2016,"SDP","All.P",-6.9
2016,"SEA","All.P",-1.5
2016,"SFG","All.P",4.4
2016,"STL","All.P",3.6
2016,"TBR","All.P",-3.3
2016,"TEX","All.P",3.5
2016,"TOR","All.P",4.8
2016,"WSN","All.P",11.6
2017,"ARI","All.P",13.3
2017,"ATL","All.P",-4.8
2017,"BAL","All.P",-7.2
2017,"BOS","All.P",7.1
2017,"CHC","All.P",1.5
2017,"CHW","All.P",-5.5
2017,"CIN","All.P",-14.8
2017,"CLE","All.P",17.3
2017,"COL","All.P",10.5
2017,"DET","All.P",-5.1
2017,"HOU","All.P",-0.5
2017,"KCR","All.P",4.7
