Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,CHC24.8,WSN12.4,CHC10.4,BAL4.3,BOS17.6,SFG2.0,ATL4.1,HOU4.8,TOR4.3,HOU4.8,PIT2.8,LAA7.2,BOS7.1,BOS11.5,BOS2.7,CHC0.1
2,BOS16.6,CHC9.9,WSN8.5,WSN3.1,CHC14.9,WSN1.7,CHC4.0,SEA4.7,SEA4.2,SFG3.4,MIA1.8,BOS3.6,CHW2.6,LAA4.9,SEA1.4,BOS0.0
3,WSN13.0,NYM8.4,NYM7.0,STL2.9,HOU8.9,STL0.9,ARI2.8,ARI3.5,COL3.6,LAD3.0,CHC1.6,TBR3.4,HOU2.4,CHC3.7,TOR1.3,KCR0.0
4,SFG11.8,CLE6.8,DET6.4,OAK2.6,SFG6.7,MIL0.8,DET2.3,MIN3.2,TEX3.5,CLE2.7,MIL1.3,CHC2.3,MIA0.8,MIA3.3,CLE0.2,STL-0.2
5,CLE8.1,DET5.9,TOR5.9,LAD2.3,STL3.7,MIA0.8,SFG2.3,WSN3.2,BAL3.4,COL2.1,BOS0.8,PHI2.3,KCR0.6,KCR1.5,MIL0.1,CLE-0.2
6,STL8.1,SFG5.1,CLE4.6,CLE2.1,LAD3.6,LAD0.7,CIN1.9,COL3.1,CHC3.3,LAA2.1,CIN0.7,COL2.1,LAA0.6,CHW1.1,MIA0.1,SFG-0.3
7,TOR7.9,TOR5.0,SFG4.1,KCR2.0,COL2.9,KCR0.6,SDP0.9,DET2.9,LAD2.6,CHC2.0,NYY0.6,ATL1.8,STL0.5,HOU0.9,SFG0.1,MIA-0.4
8,LAD7.6,STL4.4,TEX3.7,MIL1.5,TOR2.9,PHI0.5,CHW0.7,BOS2.8,WSN2.5,BAL1.9,CLE0.5,KCR1.7,SFG0.2,NYM0.7,HOU0.1,BAL-0.5
9,NYM6.4,LAD4.0,NYY3.0,NYM1.2,MIA2.8,NYY0.4,BAL0.6,CHC1.7,TBR1.9,STL1.6,SDP0.5,LAD1.6,NYM0.0,PIT0.6,STL0.0,PIT-0.5
10,DET4.7,NYY3.9,LAD2.0,NYY1.2,SEA2.8,SEA0.2,BOS0.4,TBR1.6,MIA1.6,BOS1.5,NYM0.2,TOR1.3,CHC-0.2,TBR0.5,NYM0.0,LAD-0.5
